"latitude;";longitude
"41.1815405;";-8.6141795
"41.1778798;";-8.6093114
"41.1766452854884;";-8.65137347952337
"41.1739756443663;";-8.60371112416036
"41.1739387689541;";-8.60373099335339
"41.1739220824084;";-8.60378070513655
"41.1739065824461;";-8.60367491842117
"41.1738650890615;";-8.60375151707945
"41.1734151;";-8.6373527
"41.1727117698527;";-8.68839035510132
"41.1726922;";-8.6884058
"41.1726774827323;";-8.61122007354485
"41.1726597199491;";-8.68836113630624
"41.1726500513417;";-8.68839508854661
"41.172644826586;";-8.6883718569715
"41.1726338993824;";-8.6112369438679
"41.1725855922523;";-8.61148701114714
"41.1724409228574;";-8.68850606494461
"41.1711783;";-8.6126777
"41.1711634336758;";-8.61264569935367
"41.1711354108897;";-8.61245934340522
"41.1711037159351;";-8.61256350763944
"41.1681370670359;";-8.65906924010129
"41.1668362641782;";-8.68786326320366
"41.1668020272888;";-8.68773501909369
"41.1667681886168;";-8.6878390155534
"41.1663155799512;";-8.64930889653342
"41.1658032;";-8.6719479
"41.1657959;";-8.6718238
"41.1657647391657;";-8.6718990153633
"41.1657378729816;";-8.67195113562855
"41.1656754278031;";-8.58837501146699
"41.1652182;";-8.6420438
"41.1652107;";-8.6420419
"41.1651574775435;";-8.61361962045788
"41.1650351847287;";-8.59884969558694
"41.1642846858529;";-8.68651453153607
"41.1638734;";-8.6202979
"41.1638475;";-8.6203274
"41.1638377;";-8.6203685
"41.1638016;";-8.6203951
"41.1633990323084;";-8.66300233918954
"41.1633980884138;";-8.61615684434873
"41.1632842;";-8.6161458
"41.1632101666666;";-8.6692965
"41.1630423;";-8.591833
"41.1628532818629;";-8.61128605975892
"41.1626886;";-8.6113767
"41.1624526;";-8.6078229
"41.161877838933;";-8.60370894894805
"41.1618132943907;";-8.60363859749231
"41.1617606;";-8.6036654
"41.1617525;";-8.6036364
"41.1617204;";-8.6036274
"41.1617123074293;";-8.61176686504163
"41.1616953;";-8.6116916
"41.1611652095256;";-8.64657718689054
"41.1611602;";-8.6465682
"41.1610505691253;";-8.62835826575597
"41.1603844268496;";-8.6099632790028
"41.1602922999465;";-8.61015895713244
"41.160034;";-8.6099579
"41.1594458333333;";-8.63770383333333
"41.159196258561;";-8.63770284690767
"41.1590718333333;";-8.63007816666666
"41.1589550604505;";-8.62191723525118
"41.1589274139176;";-8.62168420220519
"41.1588868;";-8.6285829
"41.1588774;";-8.6304374
"41.1588307669608;";-8.62849837015427
"41.1588029;";-8.6335666
"41.1587828;";-8.6336258
"41.1587417;";-8.6315545
"41.1587191821062;";-8.63364461734448
"41.1587054131989;";-8.59878732257319
"41.1587022;";-8.5987491
"41.1585285593755;";-8.59823285619598
"41.1583688;";-8.6277461
"41.1576407;";-8.6275578
"41.1572648;";-8.6248592
"41.1572170884638;";-8.61803301487893
"41.1571470874276;";-8.6182563036354
"41.1571005313111;";-8.6817506700835
"41.1570448486198;";-8.68171426308087
"41.1570415930218;";-8.61144191230462
"41.1569955;";-8.6296484
"41.1569819395919;";-8.61145617577723
"41.1569456;";-8.6296389
"41.1568388333333;";-8.60456883333333
"41.1568346666666;";-8.62846333333333
"41.1568026113196;";-8.60459958661266
"41.1567955;";-8.60453319999999
"41.1561841195173;";-8.6209011316502
"41.1560302;";-8.6207839
"41.1560027;";-8.6207999
"41.1559772790762;";-8.6207749663934
"41.1555219867776;";-8.6294344022602
"41.1554889;";-8.6295297
"41.1554791482313;";-8.63015016315683
"41.1554353824268;";-8.62957424484997
"41.155367;";-8.6297392
"41.1552568;";-8.6123818
"41.1551697585687;";-8.61854388768183
"41.1551372;";-8.6184823
"41.1551221666666;";-8.61852616666666
"41.1548186158184;";-8.61893408117414
"41.1547790015785;";-8.6189056660113
"41.1540169;";-8.6420624
"41.1540130991871;";-8.67906401865992
"41.1539508333333;";-8.67908933333333
"41.1538787517993;";-8.61310773590553
"41.1538517;";-8.6130823
"41.1538441487637;";-8.61314077661227
"41.1537907034894;";-8.61308489458149
"41.1537722871092;";-8.6130457185289
"41.1537501004529;";-8.61308847960552
"41.1536971890329;";-8.61304161307401
"41.1535353307066;";-8.60539832153227
"41.1535303853837;";-8.60543050804045
"41.1534919666666;";-8.60970496666666
"41.1534907;";-8.6102163
"41.153486799487;";-8.60551499762442
"41.1534755;";-8.6103333
"41.1534579193597;";-8.60547151592859
"41.1534204382226;";-8.60974369483744
"41.1534091666666;";-8.60972949999999
"41.1533785707092;";-8.60551653057697
"41.1533691666666;";-8.61025283333333
"41.1530966;";-8.5997328
"41.1530806128964;";-8.59955033737833
"41.1530784897514;";-8.59974443351182
"41.1530340290837;";-8.59960795121931
"41.1530242;";-8.5997096
"41.1528142;";-8.6168079
"41.1526315713192;";-8.6167769521733
"41.1525941;";-8.6167658
"41.1525659885568;";-8.61669249554362
"41.1523974873508;";-8.60702575185206
"41.1523481794968;";-8.60994645857927
"41.1523421285954;";-8.6099543433202
"41.1523179789305;";-8.6100727839998
"41.1523179;";-8.606843
"41.1523134964661;";-8.61003675027145
"41.1523114999999;";-8.60993883333333
"41.1523081;";-8.6099238
